track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,playlist_id,playlist_name,release_year
0bLRXQaWzmSXRXPmP6JnEF,Don't Cry for Me Argentina,6tbjWDEIzxoDsBA1FuhfPW,Madonna,7FEyjOwZ7Hjvtb92GjM286,335733,1996-10-25,55,0.323,0.149,11,-13.906,1,0.0339,0.898,4.2e-06,0.099,0.0788,105.033,5.59555,56uBMvAujYa1ZLSqkYk6hg,final,1996
55whbebR4olz2HHcRQa2kx,Sorry,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1hg0pQJLE9dzfT1kgZtDPr,281880,2005-11-11,63,0.589,0.877,0,-6.229,0,0.046,0.00121,0.013,0.169,0.443,132.971,4.698,56uBMvAujYa1ZLSqkYk6hg,final,2005
2m0M7YqCy4lXfedh18qd8N,Into the Groove,6tbjWDEIzxoDsBA1FuhfPW,Madonna,43lok9zd7BW5CoYkXZs7S0,285093,2009-09-18,65,0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,4.75155,56uBMvAujYa1ZLSqkYk6hg,final,2009
1ZPlNanZsJSPK5h9YZZFbZ,Like a Virgin,6tbjWDEIzxoDsBA1FuhfPW,Madonna,2IU9ftOgyRL2caQGWK1jjX,218626,1984-11-12,71,0.771,0.655,3,-10.842,0,0.0372,0.152,0.00197,0.0685,0.97,119.747,3.6437666666666666,56uBMvAujYa1ZLSqkYk6hg,final,1984
095MMFhB9qxPx2VsmvjnUs,Live to Tell,6tbjWDEIzxoDsBA1FuhfPW,Madonna,6fmnT17jc2Sc69q3nza1eD,351920,1986-06-30,60,0.652,0.521,2,-6.752,0,0.0256,0.263,0.0011,0.107,0.235,109.943,5.865333333333333,56uBMvAujYa1ZLSqkYk6hg,final,1986
6mfu6jyFgvnXeTPQrYNs8d,Medellín (with Maluma),6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,298164,2019-06-14,54,0.814,0.683,1,-7.091,1,0.304,0.0596,1.92e-05,0.671,0.473,91.963,4.9694,56uBMvAujYa1ZLSqkYk6hg,final,2019
01VFDkHBNJcCNUjzD3flWg,The Power of Good-Bye,6tbjWDEIzxoDsBA1FuhfPW,Madonna,6cuNyrSmRjBeekioLdLkvI,250560,1998-03-03,60,0.534,0.561,5,-11.089,0,0.0409,0.0442,0.678,0.189,0.219,84.978,4.176,56uBMvAujYa1ZLSqkYk6hg,final,1998
6B4oVElDIKRNcNUary0WG7,Crazy for You,6tbjWDEIzxoDsBA1FuhfPW,Madonna,43lok9zd7BW5CoYkXZs7S0,224320,2009-09-18,62,0.662,0.719,9,-6.606,1,0.0298,0.107,0.0,0.102,0.511,95.001,3.7386666666666666,56uBMvAujYa1ZLSqkYk6hg,final,2009
4k6ktr10Hczmh55NY3LfJy,Holiday,6tbjWDEIzxoDsBA1FuhfPW,Madonna,43lok9zd7BW5CoYkXZs7S0,368280,2009-09-18,58,0.854,0.796,11,-5.567,0,0.0399,0.0542,0.00184,0.151,0.946,115.625,6.138,56uBMvAujYa1ZLSqkYk6hg,final,2009
59qPP8coY8EWIQ9nQDThui,Give It 2 Me,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1Ms3J8LcSCMH29tG5bSKLu,287906,2008-04-19,58,0.837,0.954,8,-3.512,0,0.0414,0.0933,0.000405,0.143,0.972,127.019,4.7984333333333336,56uBMvAujYa1ZLSqkYk6hg,final,2008
